time,ghi,dni,dhi,temp_air,wind_speed
2025-01-01T00:00:00+08:00,0.0,0.0,0.0,25.0,1.5
2025-01-01T01:00:00+08:00,0.0,0.0,0.0,25.0,1.5
2025-01-01T02:00:00+08:00,0.0,0.0,0.0,25.0,1.5
2025-01-01T03:00:00+08:00,0.0,0.0,0.0,25.0,1.5
2025-01-01T04:00:00+08:00,0.0,0.0,0.0,25.0,1.5
2025-01-01T05:00:00+08:00,0.0,0.0,0.0,25.0,1.5
2025-01-01T06:00:00+08:00,0.0,0.0,0.0,25.0,1.5
2025-01-01T07:00:00+08:00,57.2548,650.0,7.634,25.0,1.5
2025-01-01T08:00:00+08:00,209.5087,650.0,27.9345,25.0,1.5
2025-01-01T09:00:00+08:00,339.6362,650.0,45.2848,25.0,1.5
2025-01-01T10:00:00+08:00,438.7695,650.0,58.5026,25.0,1.5
2025-01-01T11:00:00+08:00,500.1527,650.0,66.687,25.0,1.5
2025-01-01T12:00:00+08:00,519.6027,650.0,69.2804,25.0,1.5
2025-01-01T13:00:00+08:00,495.7939,650.0,66.1059,25.0,1.5
2025-01-01T14:00:00+08:00,430.349,650.0,57.3799,25.0,1.5
2025-01-01T15:00:00+08:00,327.7279,650.0,43.6971,25.0,1.5
2025-01-01T16:00:00+08:00,194.9241,650.0,25.9899,25.0,1.5
2025-01-01T17:00:00+08:00,40.9878,650.0,5.465,25.0,1.5
2025-01-01T18:00:00+08:00,0.0,0.0,0.0,25.0,1.5
2025-01-01T19:00:00+08:00,0.0,0.0,0.0,25.0,1.5
2025-01-01T20:00:00+08:00,0.0,0.0,0.0,25.0,1.5
2025-01-01T21:00:00+08:00,0.0,0.0,0.0,25.0,1.5
2025-01-01T22:00:00+08:00,0.0,0.0,0.0,25.0,1.5
2025-01-01T23:00:00+08:00,0.0,0.0,0.0,25.0,1.5
2025-01-02T00:00:00+08:00,0.0,0.0,0.0,25.0,1.5
2025-01-02T01:00:00+08:00,0.0,0.0,0.0,25.0,1.5
2025-01-02T02:00:00+08:00,0.0,0.0,0.0,25.0,1.5
2025-01-02T03:00:00+08:00,0.0,0.0,0.0,25.0,1.5
2025-01-02T04:00:00+08:00,0.0,0.0,0.0,25.0,1.5
2025-01-02T05:00:00+08:00,0.0,0.0,0.0,25.0,1.5
2025-01-02T06:00:00+08:00,0.0,0.0,0.0,25.0,1.5
